name,salary,minutes.played,hourly.wage
Elston Turner,425000.0,9006.0,47.19
Evan Turner,79620461.0,18938.0,4204.27
Henry Turner,180000.0,464.0,387.93
Jeff Turner,4410000.0,11244.0,392.21
John Turner,615000.0,345.0,1782.61
Myles Turner,10801804.0,9230.0,1170.29
Wayne Turner,30000.0,41.0,731.71
Melvin Turpin,1710000.0,6871.0,248.87
B.J. Tyler,6825000.0,809.0,8436.34
Jeremy Tyler,2396488.0,1034.0,2317.69
Terry Tyler,1710000.0,21740.0,78.66
Ekpe Udoh,21895512.0,5694.0,3845.37
Ime Udoka,3926817.0,5711.0,687.59
Beno Udrih,44739048.0,18185.0,2460.22
Roko Ukić,1553232.0,987.0,1573.69
Tyler Ulis,2230980.0,2782.0,801.93
Kelvin Upshaw,280000.0,1518.0,184.45
Jarrod Uthoff,121354.0,115.0,1055.25
Ben Uzoh,535037.0,808.0,662.17
Jonas Valančiūnas,61875025.0,13672.0,4525.67
Darnell Valentine,1340000.0,14395.0,93.09
Denzel Valentine,6559200.0,3437.0,1908.41
Nick Van Exel,74408867.0,28969.0,2568.57
Keith Van Horn,88860030.0,18150.0,4895.87
Logan Vander Velden,200000.0,31.0,6451.61
Jarred Vanderbilt,838464.0,115.0,7290.99
Kiki Vandeweghe,5856750.0,24521.0,238.85
Nick Vanos,125000.0,842.0,148.46
Fred VanVleet,10509929.0,5256.0,1999.61
Ratko Varda,457801.0,6.0,76300.17
Anderson Varejão,79591322.0,15051.0,5288.11
Jarvis Varnado,1173108.0,397.0,2954.93
Greivis Vásquez,22838814.0,9520.0,2399.04
David Vaughn,2291840.0,1156.0,1982.56
Jacque Vaughn,11259690.0,12658.0,889.53
Rashad Vaughn,5599378.0,1671.0,3350.91
Loy Vaught,39759014.0,16993.0,2339.73
Pete Verhoeven,285000.0,3220.0,88.51
Jan Veselý,9700920.0,2455.0,3951.49
Gundars Vētra,575000.0,89.0,6460.67
Charlie Villanueva,51577806.0,13578.0,3798.63
Jay Vincent,1356225.0,15556.0,87.18
Sam Vincent,4605000.0,7527.0,611.8
Marcus Vinicius,1100174.0,172.0,6396.36
Fred Vinson,635000.0,67.0,9477.61
Gary Voce,100000.0,4.0,25000.0
Alexander Volkov,1325000.0,2453.0,540.15
Noah Vonleh,13039928.0,5656.0,2305.5
Jake Voskuhl,12321407.0,6443.0,1912.37
Danny Vranes,1809000.0,10624.0,170.27
Slavko Vraneš,129768.0,3.0,43256.0
Stojko Vranković,13920000.0,2050.0,6790.24
Jackson Vroman,1067328.0,1111.0,960.69
Nikola Vučević,55958980.0,17557.0,3187.27
Sasha Vujačić,22254895.0,8908.0,2498.3
Dwyane Wade,198936935.0,35773.0,5561.09
Von Wafer,2935793.0,2475.0,1186.18
Dajuan Wagner,8185051.0,2202.0,3717.1
Milt Wagner,75000.0,496.0,151.21
Moritz Wagner,1762080.0,1003.0,1756.81
Dion Waiters,42269270.0,11670.0,3622.05
Granville Waiters,325000.0,2547.0,127.6
Antoine Walker,108142015.0,31531.0,3429.7
Darrell Walker,3355000.0,18601.0,180.37
Henry Walker,2248345.0,3016.0,745.47
Kemba Walker,58729731.0,22088.0,2658.9
Kenny Walker,3160000.0,9050.0,349.17
Lonnie Walker,2357160.0,788.0,2991.32
Samaki Walker,15974856.0,7612.0,2098.64
John Wall,108839665.0,20545.0,5297.62
Ben Wallace,87800795.0,32085.0,2736.51
Gerald Wallace,102825613.0,24731.0,4157.76
John Wallace,10352799.0,6143.0,1685.3
Rasheed Wallace,158110581.0,36243.0,4362.51
Tyrone Wallace,1349383.0,1639.0,823.3
Taurean Waller-Prince,7267680.0,6622.0,1097.51
Matt Walsh,38904.0,3.0,12968.0
Rex Walters,8462500.0,4602.0,1838.87
Bill Walton,2625000.0,13250.0,198.11
Derrick Walton,0.0,369.0,0.0
Luke Walton,33903340.0,9685.0,3500.6
Brad Wanamaker,838464.0,1383.0,606.26
Charlie Ward,34300500.0,14080.0,2436.12
Jameel Warney,66080.0,27.0,2447.41
T.J. Warren,21026051.0,8977.0,2342.21
Willie Warren,500000.0,134.0,3731.34
Bryan Warrick,110000.0,2379.0,46.24
Hakim Warrick,21227942.0,10624.0,1998.11
Chris Washburn,1257200.0,645.0,1949.15
Julian Washburn,0.0,254.0,0.0
Darius Washington,154847.0,146.0,1060.6
Duane Washington,75000.0,184.0,407.61
Eric Washington,1312000.0,2300.0,570.43
Pearl Washington,645000.0,4044.0,159.5
Yuta Watanabe,0.0,223.0,0.0
Darryl Watkins,109461.0,169.0,647.7
C.J. Watson,23126880.0,12093.0,1912.42
Earl Watson,42771079.0,19494.0,2194.06
Jamie Watson,2400000.0,1248.0,1923.08
Maalik Wayns,217301.0,211.0,1029.86
David Wear,29843.0,7.0,4263.29
Travis Wear,803972.0,900.0,893.3
Clarence Weatherspoon,37193000.0,27736.0,1340.96
Kyle Weaver,1677420.0,1379.0,1216.4
James Webb,65000.0,120.0,541.67
Marcus Webb,140000.0,51.0,2745.1
Spud Webb,8395600.0,20288.0,413.82
Chris Webber,178230697.0,30847.0,5777.89
Briante Weber,838791.0,611.0,1372.82
Martell Webster,47353409.0,13914.0,3403.29
Marvin Webster,900000.0,13364.0,67.35
Scott Wedman,800000.0,25927.0,30.86
Sonny Weems,4832923.0,3335.0,1449.15
Bonzi Wells,39484599.0,15133.0,2609.17
Bubba Wells,572000.0,395.0,1448.1
Chris Welp,525000.0,1173.0,447.57
Jiří Welsch,6157034.0,4596.0,1339.65
Thomas Welsh,0.0,36.0,0.0
Bill Wennington,7900000.0,9740.0,811.09
Matt Wenstrom,300000.0,37.0,8108.11
Robert Werdann,793471.0,273.0,2906.49
David Wesley,32735000.0,30272.0,1081.36
David West,92190459.0,29144.0,3163.27
Delonte West,16232536.0,11842.0,1370.76
Doug West,20845000.0,16649.0,1252.03
Mario West,1585420.0,796.0,1991.73
Mark West,12104000.0,20213.0,598.82
Russell Westbrook,167900250.0,30020.0,5592.95
Robert Whaley,481788.0,212.0,2272.58
Ennis Whatley,680000.0,7108.0,95.67
DeJuan Wheat,1072000.0,740.0,1448.65
Clinton Wheeler,200000.0,867.0,230.68
Andrew White,0.0,209.0,0.0
D.J. White,5379735.0,2111.0,2548.43
Derrick White,3071760.0,3151.0,974.85
Eric White,75000.0,788.0,95.18
Jahidi White,25466682.0,5913.0,4306.9
James White,1672542.0,583.0,2868.85
Okaro White,2063701.0,557.0,3705.03
Randy White,3437000.0,5382.0,638.61
Rodney White,7259525.0,3354.0,2164.44
Rory White,70000.0,5410.0,12.94
Royce White,1719480.0,9.0,191053.33
Tony White,75000.0,581.0,129.09
